GUID,PlayerName,Exp,KDR,PLAYER_KILL,Zombies_Killed,ZMB_KILL,ZMB_MIL_KILL,SUCIDE_DEATH,Total_Deaths,PLAYER_DEATH,TBD_DEATH,CARCRASH_DEATH,ZMB_DEATH,UNKNOWN_DEATH,UNKNOWN_BLEEDDEATH,CUTS,BLEED_OUT,Accuracy,SHOTS_FIRED,SHOTS_HIT,DOOR_LOCKED,Total_Animals_Hunted,ANIMAL_KILL_HEN,ANIMAL_KILL_GOAT,ANIMAL_KILL_PIG,ANIMAL_KILL_COW,ANIMAL_KILL_DEER,ANIMAL_KILL_BEAR,ANIMAL_KILL_WOLF,BODIES_BURIED,BANDAGE_SELF,BANDAGE_TARGET,CPR_TARGET,SALINE_SELF,SALINE_TARGET,BLOOD_SELF,BLOOD_SELF,TREES_CUT,HARVESTED_WEED,HARVESTED_KUSH,HARVESTED_BLUEWEED,HARVESTED_COCA,HARVESTED_PUMKIN,HARVESTED_PEPPER,HARVESTED_ZUCCHINI,HARVESTED_TOMATO,HARVESTED_TABACCO,CLEAN_WEAPON,Total_Built,BUILT_FENCE,BUILT_WATCHTOWER,BUILT_BBPTIER1,BUILT_BBPTIER2,BUILT_BBPTIER3,RAID_FENCE,RAID_WATCHTOWER,HACK_TENT,HACK_FENCE,HACK_BBPTIER1,HACK_BBPTIER2,HACK_BBPTIER3,HEADSHOT,EVENT_KINGOFTHEHILL,LongestSurvivedTime,DistanceTraveledHistorical,SurvivedTimeHistorical,LongestShot,LongestKill
dRLYI9MOYz2VqpMlrGxFg6bAl5mren6N_qB7mo2GzPY=,HIGHDMAND,40,0,0,26,15,11,8,2,2,0,0,0,0,0,8,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4898.984863,10022.15234,7428.483398,1.999720097,1.999720097
q0Dm1q4r4M3PrEMeLMspPsZ8ZHeFgqUtjbekl_UWbIY=,chestacity,1826,,5,11,0,11,2,0,0,0,0,0,0,0,0,0,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1934.650391,3102.683105,2119.446533,17.16178894,17.16178894
evejRVWqYr0f9G3jTpbXRlVspiMr-jJNcnWzupdP-us=,Cold_Fusion,879,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1489.549072,2391.781006,1489.549072,4.919625759,4.919625759
rBi_bhQwzLVU_ZN2TcyYU-DKS5c4IVO3lv4rpuJ2G-g=,kong dong,635,1,1,5,5,0,0,1,1,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9348.081055,13408.2334,9348.081055,33.43862915,33.43862915
uSKdVLshAWbu2cJ4jF9GhyGrqK8Hxpz4r5i0sz4YSD0=,Survivor,634,0,1,6,4,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2234.415039,0,0,6.617373943,6.616767883
kY_J750UwCgV0yQQ4mqmLZ9FMNNvbnKLhqrQYj_JiyM=,Goose,607,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,9,9,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209.452148,0,0,1.406680346,1.406680346
RZSpWYqderuH5XZTLQinA7lDWz3IfNN36MJkYnRnM2E=,[WolfPack] Itchii,607,1,1,2,0,2,1,1,1,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2049.871094,2878.55835,1990.409302,7.099629402,7.099629402
3kIbHEX8t5LEC2XTVKPgeUpGfnN9euowQCg-02lbi8w=,GODLY,602,0.5,1,2,0,2,2,2,2,0,0,0,0,0,6,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6044.572754,15112.46484,7537.36377,79.57883453,79.57883453
5PULvmQ_K52H7n8N2_zcMzq5Vn64KHtZjVx_CsMHNHw=,Jack,572,2,2,1,0,1,1,1,1,0,0,0,0,0,8,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3300.880371,8255.370117,3681.102051,3.881253719,3.881253719
9npEFVKgCvhmFjGGEnO0d3gWck3_IvBvZC0CooiJBXs=,Diablo,388,0.5,1,15,10,5,0,3,2,0,0,1,0,0,12,0,1,7,7,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12411.13965,1128.862549,589.5488281,5.518091679,5.518091679
