DistanceTraveled,DistanceTraveledHistorical,Exp,GUID,LongestKill,LongestShot,LongestSurvivedTime,PlayerName,UNKNOWN_TYPE,KDR,PLAYER_KILL,FRIENDLY_KILL,AI_KILL,Zombies_Killed,ZMB_KILL,ZMB_MIL_KILL,SUCIDE_DEATH,PLAYER_DEATH,FRIENDLY_DEATH,Total_Deaths,AI_DEATH,TBD_DEATH,CARCRASH_DEATH,HELICRASH_DEATH,ZMB_DEATH,UNKNOWN_DEATH,UNKNOWN_BLEEDDEATH,CUTS,BLEED_OUT,Accuracy,SHOTS_FIRED,SHOTS_HIT,DOOR_LOCKED,ANIMAL_KILL_HEN,ANIMAL_KILL_GOAT,ANIMAL_KILL_PIG,ANIMAL_KILL_COW,ANIMAL_KILL_DEER,ANIMAL_KILL_BEAR,ANIMAL_KILL_WOLF,BODIES_BURIED,BANDAGE_SELF,BANDAGE_TARGET,MEDICATE_SELF,MEDICATE_TARGET,CPR_TARGET,SALINE_SELF,SALINE_TARGET,BLOOD_SELF,BLOOD_SELF,TREES_CUT,HARVESTED_CANNABIS,HARVESTED_WEED,HARVESTED_KUSH,HARVESTED_BLUEWEED,HARVESTED_COCA,HARVESTED_PUMKIN,HARVESTED_PEPPER,HARVESTED_ZUCCHINI,HARVESTED_TOMATO,HARVESTED_PATATO,HARVESTED_TABACCO,REPAIRED_CLOTHES,CLEAN_WEAPON,BUILT_FENCE,BUILT_WATCHTOWER,BUILT_BBPTIER1,"BUILT_BBPTIER2""""",BUILT_BBPTIER3,RAID_FENCE,RAID_WATCHTOWER,RAID_BBPTIER1,RAID_BBPTIER2,RAID_BBPTIER3,HACK_TENT,HACK_FENCE,HACK_BBPTIER1,HACK_BBPTIER2,HACK_BBPTIER3,HEADSHOT,EVENT_KINGOFTHEHILL,EVENT_BOUNTYHUNTER,EVENT_BOUNTYTARGET,EVENT_AIRDROP,SurvivedTime,SurvivedTimeHistorical
33289.89063,1947404.875,109489,IvvmhBpmRtodifsbg3DTLVY6NxIQn-kIIRYxlBuvPiQ=,919.1385498,919.1385498,71210.60938,slime ,0,3.765151515,497,0,0,859,283,576,1438,132,0,134,0,0,2,0,0,0,0,339,0,0.022552804,23057,520,0,1,0,0,11,0,1,0,0,184,6,0,0,3,5,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,103,0,6,0,0,0,0,0,0,0,0,0,0,58,20,0,0,0,23348.85547,944573.5
0,1701598.375,108150,eGr5pURmYzk8p9a0NYTQ6bhXZQlv8FZnl023562CxlA=,646.3765259,646.3765259,86040.96875,;] maximus,9,3.265151515,431,0,0,1279,296,983,1198,132,0,136,0,0,0,0,4,0,0,462,0,0.036431125,21822,795,1,2,4,0,4,0,1,24,0,244,19,0,0,0,4,1,0,0,0,0,15,54,39,62,0,0,0,0,0,5,0,31,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,107,21,0,0,0,0,906758.75
24621.28125,1531296.75,98477,w2zKuj0lbMkXmNnRzAFLpfinUlV8ilPyRn0yv6puIGY=,821.5054932,821.5054932,62201.12891,[NoP] SnaccPacc,0,3.744444444,337,0,0,865,98,767,213,90,0,93,0,0,0,0,1,1,1,311,1,0.030978098,13332,413,0,0,5,5,0,7,1,23,0,142,8,0,0,2,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,77,19,2,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0,9142.90625,686902.5
10.79369354,1585787,86966,eK2UiSMxx-g_9WKHcX0l_mSUePFU2sHq4FXJ2D8n5AU=,792.2312012,854.2747192,95557.375,[DUB] 9,9,3.384615385,264,0,0,1559,256,1303,41,78,0,82,0,0,0,0,2,2,0,251,0,0.027913404,21710,606,3,0,9,3,0,3,0,74,0,109,1,0,0,1,6,0,0,0,0,0,1,36,45,200,0,0,0,0,0,0,0,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,27,0,0,0,49.51855469,877580.75
91154.14063,1228521,78355,v8WWRP8l26vIhgi9YJmSQzgTmT2fvvI98jfU5zhBFvY=,519.9907227,519.9907227,96752.91406,;] Trix,0,3.919354839,243,0,0,498,160,338,348,62,0,65,0,0,1,0,2,0,0,357,0,0.035929464,13610,489,0,2,9,0,12,0,0,6,0,191,3,0,0,1,18,0,0,0,21,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,686,67,38,0,0,0,0,0,1,0,0,0,1,35,5,0,0,0,29130.55078,622454.0625
1804.653809,1230953.75,76035,BbHAoEZ4KOFpEtceIumfHJMM4H5vUEmbI9HQCDhb-AY=,587.4257202,741.3097534,97964.97656,[DUB]_KILLA,10,3.392405063,268,0,0,822,95,727,52,79,0,82,0,0,0,0,3,0,0,254,0,0.035874175,16976,609,0,0,0,5,0,8,0,18,0,92,13,0,0,2,4,2,0,0,5,0,18,2,0,49,0,0,0,0,0,0,0,43,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,41,8,0,0,0,2217.47998,671321.9375
0,1187777.75,60220,BTTo3neLZUJyS7Li0PohNcOqKGehrma5u6pkw81P73s=,508.7049255,508.7049255,57884.83594,[FYB] Sherik726,0,4.32,216,0,0,357,138,219,291,50,0,51,0,0,1,0,0,0,0,134,0,0.066570987,9058,603,1,0,0,0,0,0,3,2,0,49,5,0,0,4,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,510031.7188
29025.81055,890068,59855,WcblIo3z2_jAH30h4xsNNaF7ViENArS2KrswDh7HNJw=,868.4663086,868.4663086,85929.8125,[Breakfast Club] Waffle,0,2.5,245,0,0,1223,104,1119,277,98,0,100,0,0,0,0,2,0,0,286,0,0.035855325,15953,572,3,0,5,1,0,3,0,18,0,115,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,16404.25195,419381.0938
0,1552710.25,59589,RHFLNRKrBDp7ZySf5Y3zrzNgaNEsJqyzeHVnBmmdrbk=,846.4984741,846.6270752,69429.00781,Took Ya Top Off,0,2.913043478,268,0,0,642,239,403,486,92,0,97,0,0,4,0,1,0,0,242,0,0.016300244,22515,367,1,5,8,5,12,7,3,7,0,94,1,0,0,1,10,1,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,18,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,0,0,633711.125
685.3013306,1160898.625,58611,XCKdFIBJM4BgXZ_YQLbyXlOKJkRMmJHaBH6_T7HnvCE=,744.5737305,885.1619873,65593.61719,Trippin,44,2.631578947,200,0,0,721,130,591,162,76,0,78,0,0,1,0,1,0,0,208,0,0.0543111,7991,434,47,0,0,3,0,2,1,14,0,57,7,0,0,3,0,0,0,0,342,0,36,42,36,99,0,0,0,0,0,9,0,28,2,0,151,64,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,734.1865234,815460.9375
